transaction_id,invoice_id,amount,currency,date,status,ground_truth_label
ERP-0036,INV-0036,5795.00,INR,2026-08-05,POSTED,clean
ERP-0037,INV-0037,5932.00,INR,2026-08-06,POSTED,clean
ERP-0038,INV-0038,6069.00,INR,2026-08-07,POSTED,clean
ERP-0039,INV-0039,6206.00,INR,2026-08-08,POSTED,clean
ERP-0040,INV-0040,6343.00,INR,2026-08-09,POSTED,clean
ERP-0041,INV-0041,6480.00,INR,2026-08-10,POSTED,clean
ERP-0042,INV-0042,6617.00,INR,2026-08-11,POSTED,clean
ERP-0043,INV-0043,6754.00,INR,2026-08-12,POSTED,clean
ERP-0044,INV-0044,6891.00,INR,2026-08-13,POSTED,clean
ERP-0045,INV-0045,7028.00,INR,2026-08-14,POSTED,clean
ERP-0046,INV-0046,7165.00,INR,2026-08-15,POSTED,clean
ERP-0047,INV-0047,7302.00,INR,2026-08-16,POSTED,clean
ERP-0048,INV-0048,7439.00,INR,2026-08-17,POSTED,clean
ERP-0049,INV-0049,7576.00,INR,2026-08-18,POSTED,clean
ERP-0050,INV-0050,7713.00,INR,2026-08-19,POSTED,clean
ERP-0051,INV-0051,7850.00,INR,2026-08-20,POSTED,clean
ERP-0052,INV-0052,7987.00,INR,2026-08-21,POSTED,clean
ERP-0053,INV-0053,8124.00,INR,2026-08-22,POSTED,clean
ERP-0054,INV-0054,8261.00,INR,2026-08-23,POSTED,clean
ERP-0055,INV-0055,8398.00,INR,2026-08-24,POSTED,clean
ERP-0056,INV-0056,8535.00,INR,2026-08-25,POSTED,clean
ERP-0057,INV-0057,8672.00,INR,2026-08-26,POSTED,clean
ERP-0058,INV-0058,8809.00,INR,2026-08-27,POSTED,clean
ERP-0059,INV-0059,8946.00,INR,2026-08-28,POSTED,clean
ERP-0060,INV-0060,9083.00,INR,2026-08-29,POSTED,clean
ERP-0061,INV-0061,9220.00,INR,2026-08-30,POSTED,clean
ERP-0062,INV-0062,9357.00,INR,2026-08-31,POSTED,clean
ERP-0063,INV-0063,9494.00,INR,2026-08-01,POSTED,clean
ERP-0064,INV-0064,9631.00,INR,2026-08-02,POSTED,clean
ERP-0065,INV-0065,9768.00,INR,2026-08-03,POSTED,clean
ERP-0066,INV-0066,9905.00,INR,2026-08-04,POSTED,clean
ERP-0067,INV-0067,10042.00,INR,2026-08-05,POSTED,clean
ERP-0068,INV-0068,10179.00,INR,2026-08-06,POSTED,clean
ERP-0069,INV-0069,10316.00,INR,2026-08-07,POSTED,clean
ERP-0070,INV-0070,10453.00,INR,2026-08-08,POSTED,clean
ERP-0071,INV-0071,10590.00,INR,2026-08-09,POSTED,clean
ERP-0072,INV-0072,10727.00,INR,2026-08-10,POSTED,clean
ERP-0073,INV-0073,10864.00,INR,2026-08-11,POSTED,clean
ERP-0074,INV-0074,11001.00,INR,2026-08-12,POSTED,clean
ERP-0075,INV-0075,11138.00,INR,2026-08-13,POSTED,clean
ERP-0076,INV-0076,11275.00,INR,2026-08-14,POSTED,clean
ERP-0077,INV-0077,11412.00,INR,2026-08-15,POSTED,clean
ERP-0078,INV-0078,11549.00,INR,2026-08-16,POSTED,clean
ERP-0079,INV-0079,11686.00,INR,2026-08-17,POSTED,clean
ERP-0080,INV-0080,11823.00,INR,2026-08-18,POSTED,clean
ERP-0081,INV-0081,11960.00,INR,2026-08-19,POSTED,clean
ERP-0082,INV-0082,12097.00,INR,2026-08-20,POSTED,clean
ERP-0083,INV-0083,12234.00,INR,2026-08-21,POSTED,clean
ERP-0084,INV-0084,12371.00,INR,2026-08-22,POSTED,clean
ERP-0085,INV-0085,12508.00,INR,2026-08-23,POSTED,clean
ERP-0086,INV-0086,12645.00,INR,2026-08-24,POSTED,clean
ERP-0087,INV-0087,12782.00,INR,2026-08-25,POSTED,clean
ERP-0088,INV-0088,12919.00,INR,2026-08-26,POSTED,clean
ERP-0089,INV-0089,13056.00,INR,2026-08-27,POSTED,clean
ERP-0090,INV-0090,13193.00,INR,2026-08-28,POSTED,clean
ERP-0091,INV-0091,13330.00,INR,2026-08-29,POSTED,clean
ERP-0092,INV-0092,13467.00,INR,2026-08-30,POSTED,clean
ERP-0093,INV-0093,13604.00,INR,2026-08-31,POSTED,clean
ERP-0094,INV-0094,13741.00,INR,2026-08-01,POSTED,clean
ERP-0095,INV-0095,13878.00,INR,2026-08-02,POSTED,clean
ERP-0096,INV-0096,14015.00,INR,2026-08-03,POSTED,clean
ERP-0097,INV-0097,14152.00,INR,2026-08-04,POSTED,clean
ERP-0098,INV-0098,14289.00,INR,2026-08-05,POSTED,clean
ERP-0099,INV-0099,14426.00,INR,2026-08-06,POSTED,clean
ERP-0100,INV-0100,14563.00,INR,2026-08-07,POSTED,clean
ERP-0101,INV-0101,14700.00,INR,2026-08-08,POSTED,clean
ERP-0102,INV-0102,14837.00,INR,2026-08-09,POSTED,clean
ERP-0103,INV-0103,14974.00,INR,2026-08-10,POSTED,clean
ERP-0104,INV-0104,15111.00,INR,2026-08-11,POSTED,clean
ERP-0105,INV-0105,15248.00,INR,2026-08-12,POSTED,clean
ERP-0106,INV-0106,15385.00,INR,2026-08-13,POSTED,clean
ERP-0107,INV-0107,15522.00,INR,2026-08-14,POSTED,clean
ERP-0108,INV-0108,15659.00,INR,2026-08-15,POSTED,clean
ERP-0109,INV-0109,15796.00,INR,2026-08-16,POSTED,clean
ERP-0110,INV-0110,15933.00,INR,2026-08-17,POSTED,clean
ERP-0111,INV-0111,16070.00,INR,2026-08-18,POSTED,clean
ERP-0112,INV-0112,16207.00,INR,2026-08-19,POSTED,clean
ERP-0113,INV-0113,16344.00,INR,2026-08-20,POSTED,clean
ERP-0114,INV-0114,16481.00,INR,2026-08-21,POSTED,clean
ERP-0115,INV-0115,16618.00,INR,2026-08-22,POSTED,clean
ERP-0116,INV-0116,16755.00,INR,2026-08-23,POSTED,clean
ERP-0117,INV-0117,16892.00,INR,2026-08-24,POSTED,clean
ERP-0118,INV-0118,17029.00,INR,2026-08-25,POSTED,clean
ERP-0119,INV-0119,17166.00,INR,2026-08-26,POSTED,clean
ERP-0120,INV-0120,17303.00,INR,2026-08-27,POSTED,clean
ERP-0121,INV-0121,17440.00,INR,2026-08-28,POSTED,clean
ERP-0122,INV-0122,17577.00,INR,2026-08-29,POSTED,clean
ERP-0123,INV-0123,17714.00,INR,2026-08-30,POSTED,clean
ERP-0124,INV-0124,17851.00,INR,2026-08-31,POSTED,clean
ERP-0125,INV-0125,17988.00,INR,2026-08-01,POSTED,clean
ERP-0126,INV-0126,18125.00,INR,2026-08-02,POSTED,clean
ERP-0127,INV-0127,18262.00,INR,2026-08-03,POSTED,clean
ERP-0128,INV-0128,18399.00,INR,2026-08-04,POSTED,clean
ERP-0129,INV-0129,18536.00,INR,2026-08-05,POSTED,clean
ERP-0130,INV-0130,18673.00,INR,2026-08-06,POSTED,clean
ERP-0131,INV-0131,18810.00,INR,2026-08-07,POSTED,clean
ERP-0132,INV-0132,18947.00,INR,2026-08-08,POSTED,clean
ERP-0133,INV-0133,19084.00,INR,2026-08-09,POSTED,clean
ERP-0134,INV-0134,19221.00,INR,2026-08-10,POSTED,clean
ERP-0135,INV-0135,19358.00,INR,2026-08-11,POSTED,clean
ERP-0136,INV-0136,19495.00,INR,2026-08-12,POSTED,clean
ERP-0137,INV-0137,19632.00,INR,2026-08-13,POSTED,clean
ERP-0138,INV-0138,19769.00,INR,2026-08-14,POSTED,clean
ERP-0139,INV-0139,19906.00,INR,2026-08-15,POSTED,clean
ERP-0140,INV-0140,1043.00,INR,2026-08-16,POSTED,clean
ERP-0141,INV-0141,1180.00,INR,2026-08-17,POSTED,clean
ERP-0142,INV-0142,1317.00,INR,2026-08-18,POSTED,clean
ERP-0143,INV-0143,1454.00,INR,2026-08-19,POSTED,clean
ERP-0144,INV-0144,1591.00,INR,2026-08-20,POSTED,clean
ERP-0145,INV-0145,1728.00,INR,2026-08-21,POSTED,clean
ERP-0146,INV-0146,1865.00,INR,2026-08-22,POSTED,clean
ERP-0147,INV-0147,2002.00,INR,2026-08-23,POSTED,clean
ERP-0148,INV-0148,2139.00,INR,2026-08-24,POSTED,clean
ERP-0149,INV-0149,2276.00,INR,2026-08-25,POSTED,clean
ERP-0150,INV-0150,2413.00,INR,2026-08-26,POSTED,clean
ERP-0151,INV-0151,2550.00,INR,2026-08-27,POSTED,clean
ERP-0152,INV-0152,2687.00,INR,2026-08-28,POSTED,clean
ERP-0153,INV-0153,2824.00,INR,2026-08-29,POSTED,clean
ERP-0154,INV-0154,2961.00,INR,2026-08-30,POSTED,clean
ERP-0155,INV-0155,3098.00,INR,2026-08-31,POSTED,clean
ERP-0156,INV-0156,3235.00,INR,2026-08-01,POSTED,clean
ERP-0157,INV-0157,3372.00,INR,2026-08-02,POSTED,clean
ERP-0158,INV-0158,3509.00,INR,2026-08-03,POSTED,clean
ERP-0159,INV-0159,3646.00,INR,2026-08-04,POSTED,clean
ERP-0160,INV-0160,3783.00,INR,2026-08-05,POSTED,clean
ERP-0161,INV-0161,3920.00,INR,2026-08-06,POSTED,clean
ERP-0162,INV-0162,4057.00,INR,2026-08-07,POSTED,clean
ERP-0163,INV-0163,4194.00,INR,2026-08-08,POSTED,clean
ERP-0164,INV-0164,4331.00,INR,2026-08-09,POSTED,clean
ERP-0165,INV-0165,4468.00,INR,2026-08-10,POSTED,clean
ERP-0166,INV-0166,4605.00,INR,2026-08-11,POSTED,clean
ERP-0167,INV-0167,4742.00,INR,2026-08-12,POSTED,clean
ERP-0168,INV-0168,4879.00,INR,2026-08-13,POSTED,clean
ERP-0169,INV-0169,5016.00,INR,2026-08-14,POSTED,clean
ERP-0170,INV-0170,5153.00,INR,2026-08-15,POSTED,clean
ERP-0171,INV-0171,5290.00,INR,2026-08-16,POSTED,clean
ERP-0172,INV-0172,5427.00,INR,2026-08-17,POSTED,clean
ERP-0173,INV-0173,5564.00,INR,2026-08-18,POSTED,clean
ERP-0174,INV-0174,5701.00,INR,2026-08-19,POSTED,clean
ERP-0175,INV-0175,5838.00,INR,2026-08-20,POSTED,clean
ERP-0176,INV-0176,5975.00,INR,2026-08-21,POSTED,clean
ERP-0177,INV-0177,6112.00,INR,2026-08-22,POSTED,clean
ERP-0178,INV-0178,6249.00,INR,2026-08-23,POSTED,clean
ERP-0179,INV-0179,6386.00,INR,2026-08-24,POSTED,clean
ERP-0180,INV-0180,6523.00,INR,2026-08-25,POSTED,clean
ERP-0181,INV-0181,6660.00,INR,2026-08-26,POSTED,clean
ERP-0182,INV-0182,6797.00,INR,2026-08-27,POSTED,clean
ERP-0183,INV-0183,6934.00,INR,2026-08-28,POSTED,clean
ERP-0184,INV-0184,7071.00,INR,2026-08-29,POSTED,clean
ERP-0185,INV-0185,7208.00,INR,2026-08-30,POSTED,clean
ERP-0186,INV-0186,7345.00,INR,2026-08-31,POSTED,clean
ERP-0187,INV-0187,7482.00,INR,2026-08-01,POSTED,clean
ERP-0188,INV-0188,7619.00,INR,2026-08-02,POSTED,clean
ERP-0189,INV-0189,7756.00,INR,2026-08-03,POSTED,clean
ERP-0190,INV-0190,7893.00,INR,2026-08-04,POSTED,clean
ERP-0191,INV-0191,8030.00,INR,2026-08-05,POSTED,clean
ERP-0192,INV-0192,8167.00,INR,2026-08-06,POSTED,clean
ERP-0193,INV-0193,8304.00,INR,2026-08-07,POSTED,clean
ERP-0194,INV-0194,8441.00,INR,2026-08-08,POSTED,clean
ERP-0195,INV-0195,8578.00,INR,2026-08-09,POSTED,clean
ERP-0196,INV-0196,8715.00,INR,2026-08-10,POSTED,clean
ERP-0197,INV-0197,8852.00,INR,2026-08-11,POSTED,clean
ERP-0198,INV-0198,8989.00,INR,2026-08-12,POSTED,clean
ERP-0199,INV-0199,9126.00,INR,2026-08-13,POSTED,clean
ERP-0200,INV-0200,9263.00,INR,2026-08-14,POSTED,clean
ERP-0201,INV-0201,9400.00,INR,2026-08-15,POSTED,clean
ERP-0202,INV-0202,9537.00,INR,2026-08-16,POSTED,clean
ERP-0203,INV-0203,9674.00,INR,2026-08-17,POSTED,clean
ERP-0204,INV-0204,9811.00,INR,2026-08-18,POSTED,clean
ERP-0205,INV-0205,9948.00,INR,2026-08-19,POSTED,clean
ERP-0206,INV-0206,10085.00,INR,2026-08-20,POSTED,clean
ERP-0207,INV-0207,10222.00,INR,2026-08-21,POSTED,clean
ERP-0208,INV-0208,10359.00,INR,2026-08-22,POSTED,clean
ERP-0209,INV-0209,10496.00,INR,2026-08-23,POSTED,clean
ERP-0210,INV-0210,10633.00,INR,2026-08-24,POSTED,clean
ERP-0211,INV-0211,10770.00,INR,2026-08-25,POSTED,clean
ERP-0212,INV-0212,10907.00,INR,2026-08-26,POSTED,clean
ERP-0213,INV-0213,11044.00,INR,2026-08-27,POSTED,clean
ERP-0214,INV-0214,11181.00,INR,2026-08-28,POSTED,clean
ERP-0215,INV-0215,11318.00,INR,2026-08-29,POSTED,clean
ERP-0216,INV-0216,11455.00,INR,2026-08-30,POSTED,clean
ERP-0217,INV-0217,11592.00,INR,2026-08-31,POSTED,clean
ERP-0218,INV-0218,11729.00,INR,2026-08-01,POSTED,clean
ERP-0219,INV-0219,11866.00,INR,2026-08-02,POSTED,clean
ERP-0220,INV-0220,12003.00,INR,2026-08-03,POSTED,clean
ERP-0221,INV-0221,12140.00,INR,2026-08-04,POSTED,clean
ERP-0222,INV-0222,12277.00,INR,2026-08-05,POSTED,clean
ERP-0223,INV-0223,12414.00,INR,2026-08-06,POSTED,clean
ERP-0224,INV-0224,12551.00,INR,2026-08-07,POSTED,clean
ERP-0225,INV-0225,12688.00,INR,2026-08-08,POSTED,clean
ERP-0226,INV-0226,12825.00,INR,2026-08-09,POSTED,clean
ERP-0227,INV-0227,12962.00,INR,2026-08-10,POSTED,clean
ERP-0228,INV-0228,13099.00,INR,2026-08-11,POSTED,clean
ERP-0229,INV-0229,13236.00,INR,2026-08-12,POSTED,clean
ERP-0230,INV-0230,13373.00,INR,2026-08-13,POSTED,clean
ERP-0231,INV-0231,13510.00,INR,2026-08-14,POSTED,clean
ERP-0232,INV-0232,13647.00,INR,2026-08-15,POSTED,clean
ERP-0233,INV-0233,13784.00,INR,2026-08-16,POSTED,clean
ERP-0234,INV-0234,13921.00,INR,2026-08-17,POSTED,clean
ERP-0235,INV-0235,14058.00,INR,2026-08-18,POSTED,clean
ERP-0236,INV-0236,14195.00,INR,2026-08-19,POSTED,clean
ERP-0237,INV-0237,14332.00,INR,2026-08-20,POSTED,clean
ERP-0238,INV-0238,14469.00,INR,2026-08-21,POSTED,clean
ERP-0239,INV-0239,14606.00,INR,2026-08-22,POSTED,clean
ERP-0240,INV-0240,14743.00,INR,2026-08-23,POSTED,clean
ERP-0241,INV-0241,14880.00,INR,2026-08-24,POSTED,clean
ERP-0242,INV-0242,15017.00,INR,2026-08-25,POSTED,clean
ERP-0243,INV-0243,15154.00,INR,2026-08-26,POSTED,clean
ERP-0244,INV-0244,15291.00,INR,2026-08-27,POSTED,clean
ERP-0245,INV-0245,15428.00,INR,2026-08-28,POSTED,clean
ERP-0246,INV-0246,15565.00,INR,2026-08-29,POSTED,clean
ERP-0247,INV-0247,15702.00,INR,2026-08-30,POSTED,clean
ERP-0248,INV-0248,15839.00,INR,2026-08-31,POSTED,clean
ERP-0249,INV-0249,15976.00,INR,2026-08-01,POSTED,clean
ERP-0250,INV-0250,16113.00,INR,2026-08-02,POSTED,clean
ERP-0251,INV-0251,16250.00,INR,2026-08-03,POSTED,clean
ERP-0252,INV-0252,16387.00,INR,2026-08-04,POSTED,clean
ERP-0253,INV-0253,16524.00,INR,2026-08-05,POSTED,clean
ERP-0254,INV-0254,16661.00,INR,2026-08-06,POSTED,clean
ERP-0255,INV-0255,16798.00,INR,2026-08-07,POSTED,clean
ERP-0256,INV-0256,16935.00,INR,2026-08-08,POSTED,clean
ERP-0257,INV-0257,17072.00,INR,2026-08-09,POSTED,clean
ERP-0258,INV-0258,17209.00,INR,2026-08-10,POSTED,clean
ERP-0259,INV-0259,17346.00,INR,2026-08-11,POSTED,clean
ERP-0260,INV-0260,17483.00,INR,2026-08-12,POSTED,clean
ERP-0261,INV-0261,17620.00,INR,2026-08-13,POSTED,clean
ERP-0262,INV-0262,17757.00,INR,2026-08-14,POSTED,clean
ERP-0263,INV-0263,17894.00,INR,2026-08-15,POSTED,clean
ERP-0264,INV-0264,18031.00,INR,2026-08-16,POSTED,clean
ERP-0265,INV-0265,18168.00,INR,2026-08-17,POSTED,clean
ERP-0266,INV-0266,18305.00,INR,2026-08-18,POSTED,clean
ERP-0267,INV-0267,18442.00,INR,2026-08-19,POSTED,clean
ERP-0268,INV-0268,18579.00,INR,2026-08-20,POSTED,clean
ERP-0269,INV-0269,18716.00,INR,2026-08-21,POSTED,clean
ERP-0270,INV-0270,18853.00,INR,2026-08-22,POSTED,clean
ERP-0271,INV-0271,18990.00,INR,2026-08-23,POSTED,clean
ERP-0272,INV-0272,19127.00,INR,2026-08-24,POSTED,clean
ERP-0273,INV-0273,19264.00,INR,2026-08-25,POSTED,clean
ERP-0274,INV-0274,19401.00,INR,2026-08-26,POSTED,clean
ERP-0275,INV-0275,19538.00,INR,2026-08-27,POSTED,clean
ERP-0276,INV-0276,19675.00,INR,2026-08-28,POSTED,clean
ERP-0277,INV-0277,19812.00,INR,2026-08-29,POSTED,clean
ERP-0278,INV-0278,19949.00,INR,2026-08-30,POSTED,clean
ERP-0279,INV-0279,1086.00,INR,2026-08-31,POSTED,clean
ERP-0280,INV-0280,1223.00,INR,2026-08-01,POSTED,clean
ERP-0281,INV-0281,1360.00,INR,2026-08-02,POSTED,clean
ERP-0282,INV-0282,1497.00,INR,2026-08-03,POSTED,clean
ERP-0283,INV-0283,1634.00,INR,2026-08-04,POSTED,clean
ERP-0284,INV-0284,1771.00,INR,2026-08-05,POSTED,clean
ERP-0285,INV-0285,1908.00,INR,2026-08-06,POSTED,clean
ERP-0286,INV-0286,2045.00,INR,2026-08-07,POSTED,clean
ERP-0287,INV-0287,2182.00,INR,2026-08-08,POSTED,clean
ERP-0288,INV-0288,2319.00,INR,2026-08-09,POSTED,clean
ERP-0289,INV-0289,2456.00,INR,2026-08-10,POSTED,clean
ERP-0290,INV-0290,2593.00,INR,2026-08-11,POSTED,clean
ERP-0291,INV-0291,2730.00,INR,2026-08-12,POSTED,clean
ERP-0292,INV-0292,2867.00,INR,2026-08-13,POSTED,clean
ERP-0293,INV-0293,3004.00,INR,2026-08-14,POSTED,clean
ERP-0294,INV-0294,3141.00,INR,2026-08-15,POSTED,clean
ERP-0295,INV-0295,3278.00,INR,2026-08-16,POSTED,clean
ERP-0296,INV-0296,3415.00,INR,2026-08-17,POSTED,clean
ERP-0297,INV-0297,3552.00,INR,2026-08-18,POSTED,clean
ERP-0298,INV-0298,3689.00,INR,2026-08-19,POSTED,clean
ERP-0299,INV-0299,3826.00,INR,2026-08-20,POSTED,clean
ERP-0300,INV-0300,3963.00,INR,2026-08-21,POSTED,clean
ERP-0301,INV-0301,4100.00,INR,2026-08-22,POSTED,clean
ERP-0302,INV-0302,4237.00,INR,2026-08-23,POSTED,clean
ERP-0303,INV-0303,4374.00,INR,2026-08-24,POSTED,clean
ERP-0304,INV-0304,4511.00,INR,2026-08-25,POSTED,clean
ERP-0305,INV-0305,4648.00,INR,2026-08-26,POSTED,clean
ERP-0306,INV-0306,4785.00,INR,2026-08-27,POSTED,clean
ERP-0307,INV-0307,4922.00,INR,2026-08-28,POSTED,clean
ERP-0308,INV-0308,5059.00,INR,2026-08-29,POSTED,clean
ERP-0309,INV-0309,5196.00,INR,2026-08-30,POSTED,clean
ERP-0310,INV-0310,5333.00,INR,2026-08-31,POSTED,clean
ERP-0311,INV-0311,5470.00,INR,2026-08-01,POSTED,clean
ERP-0312,INV-0312,5607.00,INR,2026-08-02,POSTED,clean
ERP-0313,INV-0313,5744.00,INR,2026-08-03,POSTED,clean
ERP-0314,INV-0314,5881.00,INR,2026-08-04,POSTED,clean
ERP-0315,INV-0315,6018.00,INR,2026-08-05,POSTED,clean
ERP-0316,INV-0316,6155.00,INR,2026-08-06,POSTED,clean
ERP-0317,INV-0317,6292.00,INR,2026-08-07,POSTED,clean
ERP-0318,INV-0318,6429.00,INR,2026-08-08,POSTED,clean
ERP-0319,INV-0319,6566.00,INR,2026-08-09,POSTED,clean
ERP-0320,INV-0320,6703.00,INR,2026-08-10,POSTED,clean
ERP-0321,INV-0321,6840.00,INR,2026-08-11,POSTED,clean
ERP-0322,INV-0322,6977.00,INR,2026-08-12,POSTED,clean
ERP-0323,INV-0323,7114.00,INR,2026-08-13,POSTED,clean
ERP-0324,INV-0324,7251.00,INR,2026-08-14,POSTED,clean
ERP-0325,INV-0325,7388.00,INR,2026-08-15,POSTED,clean
ERP-0326,INV-0326,7525.00,INR,2026-08-16,POSTED,clean
ERP-0327,INV-0327,7662.00,INR,2026-08-17,POSTED,clean
ERP-0328,INV-0328,7799.00,INR,2026-08-18,POSTED,clean
ERP-0329,INV-0329,7936.00,INR,2026-08-19,POSTED,clean
ERP-0330,INV-0330,8073.00,INR,2026-08-20,POSTED,clean
ERP-0331,INV-0331,8210.00,INR,2026-08-21,POSTED,clean
ERP-0332,INV-0332,8347.00,INR,2026-08-22,POSTED,clean
ERP-0333,INV-0333,8484.00,INR,2026-08-23,POSTED,clean
ERP-0334,INV-0334,8621.00,INR,2026-08-24,POSTED,clean
ERP-0335,INV-0335,8758.00,INR,2026-08-25,POSTED,clean
ERP-0336,INV-0336,8895.00,INR,2026-08-26,POSTED,clean
ERP-0337,INV-0337,9032.00,INR,2026-08-27,POSTED,clean
ERP-0338,INV-0338,9169.00,INR,2026-08-28,POSTED,clean
ERP-0339,INV-0339,9306.00,INR,2026-08-29,POSTED,clean
ERP-0340,INV-0340,9443.00,INR,2026-08-30,POSTED,clean
ERP-0341,INV-0341,9580.00,INR,2026-08-31,POSTED,clean
ERP-0342,INV-0342,9717.00,INR,2026-08-01,POSTED,clean
ERP-0343,INV-0343,9854.00,INR,2026-08-02,POSTED,clean
ERP-0344,INV-0344,9991.00,INR,2026-08-03,POSTED,clean
ERP-0345,INV-0345,10128.00,INR,2026-08-04,POSTED,clean
ERP-0346,INV-0346,10265.00,INR,2026-08-05,POSTED,clean
ERP-0347,INV-0347,10402.00,INR,2026-08-06,POSTED,clean
ERP-0348,INV-0348,10539.00,INR,2026-08-07,POSTED,clean
ERP-0349,INV-0349,10676.00,INR,2026-08-08,POSTED,clean
ERP-0350,INV-0350,10813.00,INR,2026-08-09,POSTED,clean
ERP-0351,INV-0351,10950.00,INR,2026-08-10,POSTED,clean
ERP-0352,INV-0352,11087.00,INR,2026-08-11,POSTED,clean
ERP-0353,INV-0353,11224.00,INR,2026-08-12,POSTED,clean
ERP-0354,INV-0354,11361.00,INR,2026-08-13,POSTED,clean
ERP-0355,INV-0355,11498.00,INR,2026-08-14,POSTED,clean
ERP-0356,INV-0356,11635.00,INR,2026-08-15,POSTED,clean
ERP-0357,INV-0357,11772.00,INR,2026-08-16,POSTED,clean
ERP-0358,INV-0358,11909.00,INR,2026-08-17,POSTED,clean
ERP-0359,INV-0359,12046.00,INR,2026-08-18,POSTED,clean
ERP-0360,INV-0360,12183.00,INR,2026-08-19,POSTED,clean
ERP-0361,INV-0361,12320.00,INR,2026-08-20,POSTED,clean
ERP-0362,INV-0362,12457.00,INR,2026-08-21,POSTED,clean
ERP-0363,INV-0363,12594.00,INR,2026-08-22,POSTED,clean
ERP-0364,INV-0364,12731.00,INR,2026-08-23,POSTED,clean
ERP-0365,INV-0365,12868.00,INR,2026-08-24,POSTED,clean
ERP-0366,INV-0366,13005.00,INR,2026-08-25,POSTED,clean
ERP-0367,INV-0367,13142.00,INR,2026-08-26,POSTED,clean
ERP-0368,INV-0368,13279.00,INR,2026-08-27,POSTED,clean
ERP-0369,INV-0369,13416.00,INR,2026-08-28,POSTED,clean
ERP-0370,INV-0370,13553.00,INR,2026-08-29,POSTED,clean
ERP-0371,INV-0371,13690.00,INR,2026-08-30,POSTED,clean
ERP-0372,INV-0372,13827.00,INR,2026-08-31,POSTED,clean
ERP-0373,INV-0373,13964.00,INR,2026-08-01,POSTED,clean
ERP-0374,INV-0374,14101.00,INR,2026-08-02,POSTED,clean
ERP-0375,INV-0375,14238.00,INR,2026-08-03,POSTED,clean
ERP-0376,INV-0376,14375.00,INR,2026-08-04,POSTED,clean
ERP-0377,INV-0377,14512.00,INR,2026-08-05,POSTED,clean
ERP-0378,INV-0378,14649.00,INR,2026-08-06,POSTED,clean
ERP-0379,INV-0379,14786.00,INR,2026-08-07,POSTED,clean
ERP-0380,INV-0380,14923.00,INR,2026-08-08,POSTED,clean
ERP-0381,INV-0381,15060.00,INR,2026-08-09,POSTED,clean
ERP-0382,INV-0382,15197.00,INR,2026-08-10,POSTED,clean
ERP-0383,INV-0383,15334.00,INR,2026-08-11,POSTED,clean
ERP-0384,INV-0384,15471.00,INR,2026-08-12,POSTED,clean
