transaction_id,settlement_id,amount,settled_amount,currency,date,settlement_date,status,ground_truth_label
BANK-0060,SET-0060,9083.00,9083.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0061,SET-0061,9220.00,9220.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0062,SET-0062,9357.00,9357.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0063,SET-0063,9494.00,9494.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0064,SET-0064,9631.00,9631.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0065,SET-0065,9768.00,9768.00,INR,2026-08-03,2026-08-05,SETTLED,clean
BANK-0066,SET-0066,9905.00,9905.00,INR,2026-08-04,2026-08-06,SETTLED,clean
BANK-0067,SET-0067,10042.00,10042.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0068,SET-0068,10179.00,10179.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0069,SET-0069,10316.00,10316.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0070,SET-0070,10453.00,10453.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0071,SET-0071,10590.00,10590.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0072,SET-0072,10727.00,10727.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0073,SET-0073,10864.00,10864.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0074,SET-0074,11001.00,11001.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0075,SET-0075,11138.00,11138.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0076,SET-0076,11275.00,11275.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0077,SET-0077,11412.00,11412.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0078,SET-0078,11549.00,11549.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0079,SET-0079,11686.00,11686.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0080,SET-0080,11823.00,11823.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0081,SET-0081,11960.00,11960.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0082,SET-0082,12097.00,12097.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0083,SET-0083,12234.00,12234.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0084,SET-0084,12371.00,12371.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0085,SET-0085,12508.00,12508.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0086,SET-0086,12645.00,12645.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0087,SET-0087,12782.00,12782.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0088,SET-0088,12919.00,12919.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0089,SET-0089,13056.00,13056.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0090,SET-0090,13193.00,13193.00,INR,2026-08-28,2026-08-30,SETTLED,clean
BANK-0091,SET-0091,13330.00,13330.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0092,SET-0092,13467.00,13467.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0093,SET-0093,13604.00,13604.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0094,SET-0094,13741.00,13741.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0095,SET-0095,13878.00,13878.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0096,SET-0096,14015.00,14015.00,INR,2026-08-03,2026-08-05,SETTLED,clean
BANK-0097,SET-0097,14152.00,14152.00,INR,2026-08-04,2026-08-06,SETTLED,clean
BANK-0098,SET-0098,14289.00,14289.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0099,SET-0099,14426.00,14426.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0100,SET-0100,14563.00,14563.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0101,SET-0101,14700.00,14700.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0102,SET-0102,14837.00,14837.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0103,SET-0103,14974.00,14974.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0104,SET-0104,15111.00,15111.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0105,SET-0105,15248.00,15248.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0106,SET-0106,15385.00,15385.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0107,SET-0107,15522.00,15522.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0108,SET-0108,15659.00,15659.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0109,SET-0109,15796.00,15796.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0110,SET-0110,15933.00,15933.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0111,SET-0111,16070.00,16070.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0112,SET-0112,16207.00,16207.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0113,SET-0113,16344.00,16344.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0114,SET-0114,16481.00,16481.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0115,SET-0115,16618.00,16618.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0116,SET-0116,16755.00,16755.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0117,SET-0117,16892.00,16892.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0118,SET-0118,17029.00,17029.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0119,SET-0119,17166.00,17166.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0120,SET-0120,17303.00,17303.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0121,SET-0121,17440.00,17440.00,INR,2026-08-28,2026-08-30,SETTLED,clean
BANK-0122,SET-0122,17577.00,17577.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0123,SET-0123,17714.00,17714.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0124,SET-0124,17851.00,17851.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0125,SET-0125,17988.00,17988.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0126,SET-0126,18125.00,18125.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0127,SET-0127,18262.00,18262.00,INR,2026-08-03,2026-08-05,SETTLED,clean
BANK-0128,SET-0128,18399.00,18399.00,INR,2026-08-04,2026-08-06,SETTLED,clean
BANK-0129,SET-0129,18536.00,18536.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0130,SET-0130,18673.00,18673.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0131,SET-0131,18810.00,18810.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0132,SET-0132,18947.00,18947.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0133,SET-0133,19084.00,19084.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0134,SET-0134,19221.00,19221.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0135,SET-0135,19358.00,19358.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0136,SET-0136,19495.00,19495.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0137,SET-0137,19632.00,19632.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0138,SET-0138,19769.00,19769.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0139,SET-0139,19906.00,19906.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0140,SET-0140,1043.00,1043.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0141,SET-0141,1180.00,1180.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0142,SET-0142,1317.00,1317.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0143,SET-0143,1454.00,1454.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0144,SET-0144,1591.00,1591.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0145,SET-0145,1728.00,1728.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0146,SET-0146,1865.00,1865.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0147,SET-0147,2002.00,2002.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0148,SET-0148,2139.00,2139.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0149,SET-0149,2276.00,2276.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0150,SET-0150,2413.00,2413.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0151,SET-0151,2550.00,2550.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0152,SET-0152,2687.00,2687.00,INR,2026-08-28,2026-08-30,SETTLED,clean
BANK-0153,SET-0153,2824.00,2824.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0154,SET-0154,2961.00,2961.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0155,SET-0155,3098.00,3098.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0156,SET-0156,3235.00,3235.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0157,SET-0157,3372.00,3372.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0158,SET-0158,3509.00,3509.00,INR,2026-08-03,2026-08-05,SETTLED,clean
BANK-0159,SET-0159,3646.00,3646.00,INR,2026-08-04,2026-08-06,SETTLED,clean
BANK-0160,SET-0160,3783.00,3783.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0161,SET-0161,3920.00,3920.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0162,SET-0162,4057.00,4057.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0163,SET-0163,4194.00,4194.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0164,SET-0164,4331.00,4331.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0165,SET-0165,4468.00,4468.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0166,SET-0166,4605.00,4605.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0167,SET-0167,4742.00,4742.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0168,SET-0168,4879.00,4879.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0169,SET-0169,5016.00,5016.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0170,SET-0170,5153.00,5153.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0171,SET-0171,5290.00,5290.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0172,SET-0172,5427.00,5427.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0173,SET-0173,5564.00,5564.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0174,SET-0174,5701.00,5701.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0175,SET-0175,5838.00,5838.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0176,SET-0176,5975.00,5975.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0177,SET-0177,6112.00,6112.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0178,SET-0178,6249.00,6249.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0179,SET-0179,6386.00,6386.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0180,SET-0180,6523.00,6523.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0181,SET-0181,6660.00,6660.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0182,SET-0182,6797.00,6797.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0183,SET-0183,6934.00,6934.00,INR,2026-08-28,2026-08-30,SETTLED,clean
BANK-0184,SET-0184,7071.00,7071.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0185,SET-0185,7208.00,7208.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0186,SET-0186,7345.00,7345.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0187,SET-0187,7482.00,7482.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0188,SET-0188,7619.00,7619.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0189,SET-0189,7756.00,7756.00,INR,2026-08-03,2026-08-05,SETTLED,clean
BANK-0190,SET-0190,7893.00,7893.00,INR,2026-08-04,2026-08-06,SETTLED,clean
BANK-0191,SET-0191,8030.00,8030.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0192,SET-0192,8167.00,8167.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0193,SET-0193,8304.00,8304.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0194,SET-0194,8441.00,8441.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0195,SET-0195,8578.00,8578.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0196,SET-0196,8715.00,8715.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0197,SET-0197,8852.00,8852.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0198,SET-0198,8989.00,8989.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0199,SET-0199,9126.00,9126.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0200,SET-0200,9263.00,9263.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0201,SET-0201,9400.00,9400.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0202,SET-0202,9537.00,9537.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0203,SET-0203,9674.00,9674.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0204,SET-0204,9811.00,9811.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0205,SET-0205,9948.00,9948.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0206,SET-0206,10085.00,10085.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0207,SET-0207,10222.00,10222.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0208,SET-0208,10359.00,10359.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0209,SET-0209,10496.00,10496.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0210,SET-0210,10633.00,10633.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0211,SET-0211,10770.00,10770.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0212,SET-0212,10907.00,10907.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0213,SET-0213,11044.00,11044.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0214,SET-0214,11181.00,11181.00,INR,2026-08-28,2026-08-30,SETTLED,clean
BANK-0215,SET-0215,11318.00,11318.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0216,SET-0216,11455.00,11455.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0217,SET-0217,11592.00,11592.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0218,SET-0218,11729.00,11729.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0219,SET-0219,11866.00,11866.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0220,SET-0220,12003.00,12003.00,INR,2026-08-03,2026-08-05,SETTLED,clean
BANK-0221,SET-0221,12140.00,12140.00,INR,2026-08-04,2026-08-06,SETTLED,clean
BANK-0222,SET-0222,12277.00,12277.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0223,SET-0223,12414.00,12414.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0224,SET-0224,12551.00,12551.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0225,SET-0225,12688.00,12688.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0226,SET-0226,12825.00,12825.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0227,SET-0227,12962.00,12962.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0228,SET-0228,13099.00,13099.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0229,SET-0229,13236.00,13236.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0230,SET-0230,13373.00,13373.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0231,SET-0231,13510.00,13510.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0232,SET-0232,13647.00,13647.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0233,SET-0233,13784.00,13784.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0234,SET-0234,13921.00,13921.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0235,SET-0235,14058.00,14058.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0236,SET-0236,14195.00,14195.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0237,SET-0237,14332.00,14332.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0238,SET-0238,14469.00,14469.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0239,SET-0239,14606.00,14606.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0240,SET-0240,14743.00,14743.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0241,SET-0241,14880.00,14880.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0242,SET-0242,15017.00,15017.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0243,SET-0243,15154.00,15154.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0244,SET-0244,15291.00,15291.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0245,SET-0245,15428.00,15428.00,INR,2026-08-28,2026-08-30,SETTLED,clean
BANK-0246,SET-0246,15565.00,15565.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0247,SET-0247,15702.00,15702.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0248,SET-0248,15839.00,15839.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0249,SET-0249,15976.00,15976.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0250,SET-0250,16113.00,16113.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0251,SET-0251,16250.00,16250.00,INR,2026-08-03,2026-08-05,SETTLED,clean
BANK-0252,SET-0252,16387.00,16387.00,INR,2026-08-04,2026-08-06,SETTLED,clean
BANK-0253,SET-0253,16524.00,16524.00,INR,2026-08-05,2026-08-07,SETTLED,clean
BANK-0254,SET-0254,16661.00,16661.00,INR,2026-08-06,2026-08-08,SETTLED,clean
BANK-0255,SET-0255,16798.00,16798.00,INR,2026-08-07,2026-08-09,SETTLED,clean
BANK-0256,SET-0256,16935.00,16935.00,INR,2026-08-08,2026-08-10,SETTLED,clean
BANK-0257,SET-0257,17072.00,17072.00,INR,2026-08-09,2026-08-11,SETTLED,clean
BANK-0258,SET-0258,17209.00,17209.00,INR,2026-08-10,2026-08-12,SETTLED,clean
BANK-0259,SET-0259,17346.00,17346.00,INR,2026-08-11,2026-08-13,SETTLED,clean
BANK-0260,SET-0260,17483.00,17483.00,INR,2026-08-12,2026-08-14,SETTLED,clean
BANK-0261,SET-0261,17620.00,17620.00,INR,2026-08-13,2026-08-15,SETTLED,clean
BANK-0262,SET-0262,17757.00,17757.00,INR,2026-08-14,2026-08-16,SETTLED,clean
BANK-0263,SET-0263,17894.00,17894.00,INR,2026-08-15,2026-08-17,SETTLED,clean
BANK-0264,SET-0264,18031.00,18031.00,INR,2026-08-16,2026-08-18,SETTLED,clean
BANK-0265,SET-0265,18168.00,18168.00,INR,2026-08-17,2026-08-19,SETTLED,clean
BANK-0266,SET-0266,18305.00,18305.00,INR,2026-08-18,2026-08-20,SETTLED,clean
BANK-0267,SET-0267,18442.00,18442.00,INR,2026-08-19,2026-08-21,SETTLED,clean
BANK-0268,SET-0268,18579.00,18579.00,INR,2026-08-20,2026-08-22,SETTLED,clean
BANK-0269,SET-0269,18716.00,18716.00,INR,2026-08-21,2026-08-23,SETTLED,clean
BANK-0270,SET-0270,18853.00,18853.00,INR,2026-08-22,2026-08-24,SETTLED,clean
BANK-0271,SET-0271,18990.00,18990.00,INR,2026-08-23,2026-08-25,SETTLED,clean
BANK-0272,SET-0272,19127.00,19127.00,INR,2026-08-24,2026-08-26,SETTLED,clean
BANK-0273,SET-0273,19264.00,19264.00,INR,2026-08-25,2026-08-27,SETTLED,clean
BANK-0274,SET-0274,19401.00,19401.00,INR,2026-08-26,2026-08-28,SETTLED,clean
BANK-0275,SET-0275,19538.00,19538.00,INR,2026-08-27,2026-08-29,SETTLED,clean
BANK-0276,SET-0276,19675.00,19675.00,INR,2026-08-28,2026-08-30,SETTLED,clean
BANK-0277,SET-0277,19812.00,19812.00,INR,2026-08-29,2026-08-31,SETTLED,clean
BANK-0278,SET-0278,19949.00,19949.00,INR,2026-08-30,2026-09-01,SETTLED,clean
BANK-0279,SET-0279,1086.00,1086.00,INR,2026-08-31,2026-09-02,SETTLED,clean
BANK-0280,SET-0280,1223.00,1223.00,INR,2026-08-01,2026-08-03,SETTLED,clean
BANK-0281,SET-0281,1360.00,1360.00,INR,2026-08-02,2026-08-04,SETTLED,clean
BANK-0282,SET-0282,1497.00,1497.00,INR,2026-08-03,2026-08-05,SETTLED,clean
