transaction_id,invoice_id,amount,currency,date,status,fee,fee_rate,settlement_id,refund_amount,ground_truth_label
PAY-0022,INV-0022,3877.00,INR,2026-08-22,CAPTURED,0.00,0.00,SET-0022,0.00,clean
PAY-0023,INV-0023,4014.00,INR,2026-08-23,CAPTURED,0.00,0.00,SET-0023,0.00,clean
PAY-0024,INV-0024,4151.00,INR,2026-08-24,CAPTURED,0.00,0.00,SET-0024,0.00,clean
PAY-0025,INV-0025,4288.00,INR,2026-08-25,CAPTURED,0.00,0.00,SET-0025,0.00,clean
PAY-0026,INV-0026,4425.00,INR,2026-08-26,CAPTURED,0.00,0.00,SET-0026,0.00,clean
PAY-0027,INV-0027,4562.00,INR,2026-08-27,CAPTURED,0.00,0.00,SET-0027,0.00,clean
PAY-0028,INV-0028,4699.00,INR,2026-08-28,CAPTURED,0.00,0.00,SET-0028,0.00,clean
PAY-0029,INV-0029,4836.00,INR,2026-08-29,CAPTURED,0.00,0.00,SET-0029,0.00,clean
PAY-0030,INV-0030,4973.00,INR,2026-08-30,CAPTURED,0.00,0.00,SET-0030,0.00,clean
PAY-0031,INV-0031,5110.00,INR,2026-08-31,CAPTURED,0.00,0.00,SET-0031,0.00,clean
PAY-0032,INV-0032,5247.00,INR,2026-08-01,CAPTURED,0.00,0.00,SET-0032,0.00,clean
PAY-0033,INV-0033,5384.00,INR,2026-08-02,CAPTURED,0.00,0.00,SET-0033,0.00,clean
PAY-0034,INV-0034,5521.00,INR,2026-08-03,CAPTURED,0.00,0.00,SET-0034,0.00,clean
PAY-0035,INV-0035,5658.00,INR,2026-08-04,CAPTURED,0.00,0.00,SET-0035,0.00,clean
PAY-0036,INV-0036,5795.00,INR,2026-08-05,CAPTURED,0.00,0.00,SET-0036,0.00,clean
PAY-0037,INV-0037,5932.00,INR,2026-08-06,CAPTURED,0.00,0.00,SET-0037,0.00,clean
PAY-0038,INV-0038,6069.00,INR,2026-08-07,CAPTURED,0.00,0.00,SET-0038,0.00,clean
PAY-0039,INV-0039,6206.00,INR,2026-08-08,CAPTURED,0.00,0.00,SET-0039,0.00,clean
PAY-0040,INV-0040,6343.00,INR,2026-08-09,CAPTURED,0.00,0.00,SET-0040,0.00,clean
PAY-0041,INV-0041,6480.00,INR,2026-08-10,CAPTURED,0.00,0.00,SET-0041,0.00,clean
PAY-0042,INV-0042,6617.00,INR,2026-08-11,CAPTURED,0.00,0.00,SET-0042,0.00,clean
PAY-0043,INV-0043,6754.00,INR,2026-08-12,CAPTURED,0.00,0.00,SET-0043,0.00,clean
PAY-0044,INV-0044,6891.00,INR,2026-08-13,CAPTURED,0.00,0.00,SET-0044,0.00,clean
PAY-0045,INV-0045,7028.00,INR,2026-08-14,CAPTURED,0.00,0.00,SET-0045,0.00,clean
PAY-0046,INV-0046,7165.00,INR,2026-08-15,CAPTURED,0.00,0.00,SET-0046,0.00,clean
PAY-0047,INV-0047,7302.00,INR,2026-08-16,CAPTURED,0.00,0.00,SET-0047,0.00,clean
PAY-0048,INV-0048,7439.00,INR,2026-08-17,CAPTURED,0.00,0.00,SET-0048,0.00,clean
PAY-0049,INV-0049,7576.00,INR,2026-08-18,CAPTURED,0.00,0.00,SET-0049,0.00,clean
PAY-0050,INV-0050,7713.00,INR,2026-08-19,CAPTURED,0.00,0.00,SET-0050,0.00,clean
PAY-0051,INV-0051,7850.00,INR,2026-08-20,CAPTURED,0.00,0.00,SET-0051,0.00,clean
PAY-0052,INV-0052,7987.00,INR,2026-08-21,CAPTURED,0.00,0.00,SET-0052,0.00,clean
PAY-0053,INV-0053,8124.00,INR,2026-08-22,CAPTURED,0.00,0.00,SET-0053,0.00,clean
PAY-0054,INV-0054,8261.00,INR,2026-08-23,CAPTURED,0.00,0.00,SET-0054,0.00,clean
PAY-0055,INV-0055,8398.00,INR,2026-08-24,CAPTURED,0.00,0.00,SET-0055,0.00,clean
PAY-0056,INV-0056,8535.00,INR,2026-08-25,CAPTURED,0.00,0.00,SET-0056,0.00,clean
PAY-0057,INV-0057,8672.00,INR,2026-08-26,CAPTURED,0.00,0.00,SET-0057,0.00,clean
PAY-0058,INV-0058,8809.00,INR,2026-08-27,CAPTURED,0.00,0.00,SET-0058,0.00,clean
PAY-0059,INV-0059,8946.00,INR,2026-08-28,CAPTURED,0.00,0.00,SET-0059,0.00,clean
PAY-0060,INV-0060,9083.00,INR,2026-08-29,CAPTURED,0.00,0.00,SET-0060,0.00,clean
PAY-0061,INV-0061,9220.00,INR,2026-08-30,CAPTURED,0.00,0.00,SET-0061,0.00,clean
PAY-0062,INV-0062,9357.00,INR,2026-08-31,CAPTURED,0.00,0.00,SET-0062,0.00,clean
PAY-0063,INV-0063,9494.00,INR,2026-08-01,CAPTURED,0.00,0.00,SET-0063,0.00,clean
PAY-0064,INV-0064,9631.00,INR,2026-08-02,CAPTURED,0.00,0.00,SET-0064,0.00,clean
PAY-0065,INV-0065,9768.00,INR,2026-08-03,CAPTURED,0.00,0.00,SET-0065,0.00,clean
PAY-0066,INV-0066,9905.00,INR,2026-08-04,CAPTURED,0.00,0.00,SET-0066,0.00,clean
PAY-0067,INV-0067,10042.00,INR,2026-08-05,CAPTURED,0.00,0.00,SET-0067,0.00,clean
PAY-0068,INV-0068,10179.00,INR,2026-08-06,CAPTURED,0.00,0.00,SET-0068,0.00,clean
PAY-0069,INV-0069,10316.00,INR,2026-08-07,CAPTURED,0.00,0.00,SET-0069,0.00,clean
PAY-0070,INV-0070,10453.00,INR,2026-08-08,CAPTURED,0.00,0.00,SET-0070,0.00,clean
PAY-0071,INV-0071,10590.00,INR,2026-08-09,CAPTURED,0.00,0.00,SET-0071,0.00,clean
PAY-0072,INV-0072,10727.00,INR,2026-08-10,CAPTURED,0.00,0.00,SET-0072,0.00,clean
PAY-0073,INV-0073,10864.00,INR,2026-08-11,CAPTURED,0.00,0.00,SET-0073,0.00,clean
PAY-0074,INV-0074,11001.00,INR,2026-08-12,CAPTURED,0.00,0.00,SET-0074,0.00,clean
PAY-0075,INV-0075,11138.00,INR,2026-08-13,CAPTURED,0.00,0.00,SET-0075,0.00,clean
PAY-0076,INV-0076,11275.00,INR,2026-08-14,CAPTURED,0.00,0.00,SET-0076,0.00,clean
PAY-0077,INV-0077,11412.00,INR,2026-08-15,CAPTURED,0.00,0.00,SET-0077,0.00,clean
PAY-0078,INV-0078,11549.00,INR,2026-08-16,CAPTURED,0.00,0.00,SET-0078,0.00,clean
PAY-0079,INV-0079,11686.00,INR,2026-08-17,CAPTURED,0.00,0.00,SET-0079,0.00,clean
PAY-0080,INV-0080,11823.00,INR,2026-08-18,CAPTURED,0.00,0.00,SET-0080,0.00,clean
PAY-0081,INV-0081,11960.00,INR,2026-08-19,CAPTURED,0.00,0.00,SET-0081,0.00,clean
PAY-0082,INV-0082,12097.00,INR,2026-08-20,CAPTURED,0.00,0.00,SET-0082,0.00,clean
PAY-0083,INV-0083,12234.00,INR,2026-08-21,CAPTURED,0.00,0.00,SET-0083,0.00,clean
PAY-0084,INV-0084,12371.00,INR,2026-08-22,CAPTURED,0.00,0.00,SET-0084,0.00,clean
PAY-0085,INV-0085,12508.00,INR,2026-08-23,CAPTURED,0.00,0.00,SET-0085,0.00,clean
PAY-0086,INV-0086,12645.00,INR,2026-08-24,CAPTURED,0.00,0.00,SET-0086,0.00,clean
PAY-0087,INV-0087,12782.00,INR,2026-08-25,CAPTURED,0.00,0.00,SET-0087,0.00,clean
PAY-0088,INV-0088,12919.00,INR,2026-08-26,CAPTURED,0.00,0.00,SET-0088,0.00,clean
PAY-0089,INV-0089,13056.00,INR,2026-08-27,CAPTURED,0.00,0.00,SET-0089,0.00,clean
PAY-0090,INV-0090,13193.00,INR,2026-08-28,CAPTURED,0.00,0.00,SET-0090,0.00,clean
PAY-0091,INV-0091,13330.00,INR,2026-08-29,CAPTURED,0.00,0.00,SET-0091,0.00,clean
PAY-0092,INV-0092,13467.00,INR,2026-08-30,CAPTURED,0.00,0.00,SET-0092,0.00,clean
PAY-0093,INV-0093,13604.00,INR,2026-08-31,CAPTURED,0.00,0.00,SET-0093,0.00,clean
PAY-0094,INV-0094,13741.00,INR,2026-08-01,CAPTURED,0.00,0.00,SET-0094,0.00,clean
PAY-0095,INV-0095,13878.00,INR,2026-08-02,CAPTURED,0.00,0.00,SET-0095,0.00,clean
PAY-0096,INV-0096,14015.00,INR,2026-08-03,CAPTURED,0.00,0.00,SET-0096,0.00,clean
PAY-0097,INV-0097,14152.00,INR,2026-08-04,CAPTURED,0.00,0.00,SET-0097,0.00,clean
PAY-0098,INV-0098,14289.00,INR,2026-08-05,CAPTURED,0.00,0.00,SET-0098,0.00,clean
PAY-0099,INV-0099,14426.00,INR,2026-08-06,CAPTURED,0.00,0.00,SET-0099,0.00,clean
PAY-0100,INV-0100,14563.00,INR,2026-08-07,CAPTURED,0.00,0.00,SET-0100,0.00,clean
PAY-0101,INV-0101,14700.00,INR,2026-08-08,CAPTURED,0.00,0.00,SET-0101,0.00,clean
PAY-0102,INV-0102,14837.00,INR,2026-08-09,CAPTURED,0.00,0.00,SET-0102,0.00,clean
PAY-0103,INV-0103,14974.00,INR,2026-08-10,CAPTURED,0.00,0.00,SET-0103,0.00,clean
PAY-0104,INV-0104,15111.00,INR,2026-08-11,CAPTURED,0.00,0.00,SET-0104,0.00,clean
PAY-0105,INV-0105,15248.00,INR,2026-08-12,CAPTURED,0.00,0.00,SET-0105,0.00,clean
PAY-0106,INV-0106,15385.00,INR,2026-08-13,CAPTURED,0.00,0.00,SET-0106,0.00,clean
PAY-0107,INV-0107,15522.00,INR,2026-08-14,CAPTURED,0.00,0.00,SET-0107,0.00,clean
PAY-0108,INV-0108,15659.00,INR,2026-08-15,CAPTURED,0.00,0.00,SET-0108,0.00,clean
PAY-0109,INV-0109,15796.00,INR,2026-08-16,CAPTURED,0.00,0.00,SET-0109,0.00,clean
PAY-0110,INV-0110,15933.00,INR,2026-08-17,CAPTURED,0.00,0.00,SET-0110,0.00,clean
PAY-0111,INV-0111,16070.00,INR,2026-08-18,CAPTURED,0.00,0.00,SET-0111,0.00,clean
PAY-0112,INV-0112,16207.00,INR,2026-08-19,CAPTURED,0.00,0.00,SET-0112,0.00,clean
PAY-0113,INV-0113,16344.00,INR,2026-08-20,CAPTURED,0.00,0.00,SET-0113,0.00,clean
PAY-0114,INV-0114,16481.00,INR,2026-08-21,CAPTURED,0.00,0.00,SET-0114,0.00,clean
PAY-0115,INV-0115,16618.00,INR,2026-08-22,CAPTURED,0.00,0.00,SET-0115,0.00,clean
PAY-0116,INV-0116,16755.00,INR,2026-08-23,CAPTURED,0.00,0.00,SET-0116,0.00,clean
PAY-0117,INV-0117,16892.00,INR,2026-08-24,CAPTURED,0.00,0.00,SET-0117,0.00,clean
PAY-0118,INV-0118,17029.00,INR,2026-08-25,CAPTURED,0.00,0.00,SET-0118,0.00,clean
PAY-0119,INV-0119,17166.00,INR,2026-08-26,CAPTURED,0.00,0.00,SET-0119,0.00,clean
PAY-0120,INV-0120,17303.00,INR,2026-08-27,CAPTURED,0.00,0.00,SET-0120,0.00,clean
PAY-0121,INV-0121,17440.00,INR,2026-08-28,CAPTURED,0.00,0.00,SET-0121,0.00,clean
PAY-0122,INV-0122,17577.00,INR,2026-08-29,CAPTURED,0.00,0.00,SET-0122,0.00,clean
PAY-0123,INV-0123,17714.00,INR,2026-08-30,CAPTURED,0.00,0.00,SET-0123,0.00,clean
PAY-0124,INV-0124,17851.00,INR,2026-08-31,CAPTURED,0.00,0.00,SET-0124,0.00,clean
PAY-0125,INV-0125,17988.00,INR,2026-08-01,CAPTURED,0.00,0.00,SET-0125,0.00,clean
PAY-0126,INV-0126,18125.00,INR,2026-08-02,CAPTURED,0.00,0.00,SET-0126,0.00,clean
PAY-0127,INV-0127,18262.00,INR,2026-08-03,CAPTURED,0.00,0.00,SET-0127,0.00,clean
PAY-0128,INV-0128,18399.00,INR,2026-08-04,CAPTURED,0.00,0.00,SET-0128,0.00,clean
PAY-0129,INV-0129,18536.00,INR,2026-08-05,CAPTURED,0.00,0.00,SET-0129,0.00,clean
PAY-0130,INV-0130,18673.00,INR,2026-08-06,CAPTURED,0.00,0.00,SET-0130,0.00,clean
PAY-0131,INV-0131,18810.00,INR,2026-08-07,CAPTURED,0.00,0.00,SET-0131,0.00,clean
PAY-0132,INV-0132,18947.00,INR,2026-08-08,CAPTURED,0.00,0.00,SET-0132,0.00,clean
PAY-0133,INV-0133,19084.00,INR,2026-08-09,CAPTURED,0.00,0.00,SET-0133,0.00,clean
PAY-0134,INV-0134,19221.00,INR,2026-08-10,CAPTURED,0.00,0.00,SET-0134,0.00,clean
PAY-0135,INV-0135,19358.00,INR,2026-08-11,CAPTURED,0.00,0.00,SET-0135,0.00,clean
PAY-0136,INV-0136,19495.00,INR,2026-08-12,CAPTURED,0.00,0.00,SET-0136,0.00,clean
PAY-0137,INV-0137,19632.00,INR,2026-08-13,CAPTURED,0.00,0.00,SET-0137,0.00,clean
PAY-0138,INV-0138,19769.00,INR,2026-08-14,CAPTURED,0.00,0.00,SET-0138,0.00,clean
PAY-0139,INV-0139,19906.00,INR,2026-08-15,CAPTURED,0.00,0.00,SET-0139,0.00,clean
PAY-0140,INV-0140,1043.00,INR,2026-08-16,CAPTURED,0.00,0.00,SET-0140,0.00,clean
PAY-0141,INV-0141,1180.00,INR,2026-08-17,CAPTURED,0.00,0.00,SET-0141,0.00,clean
PAY-0142,INV-0142,1317.00,INR,2026-08-18,CAPTURED,0.00,0.00,SET-0142,0.00,clean
PAY-0143,INV-0143,1454.00,INR,2026-08-19,CAPTURED,0.00,0.00,SET-0143,0.00,clean
PAY-0144,INV-0144,1591.00,INR,2026-08-20,CAPTURED,0.00,0.00,SET-0144,0.00,clean
PAY-0145,INV-0145,1728.00,INR,2026-08-21,CAPTURED,0.00,0.00,SET-0145,0.00,clean
PAY-0146,INV-0146,1865.00,INR,2026-08-22,CAPTURED,0.00,0.00,SET-0146,0.00,clean
PAY-0147,INV-0147,2002.00,INR,2026-08-23,CAPTURED,0.00,0.00,SET-0147,0.00,clean
PAY-0148,INV-0148,2139.00,INR,2026-08-24,CAPTURED,0.00,0.00,SET-0148,0.00,clean
PAY-0149,INV-0149,2276.00,INR,2026-08-25,CAPTURED,0.00,0.00,SET-0149,0.00,clean
PAY-0150,INV-0150,2413.00,INR,2026-08-26,CAPTURED,0.00,0.00,SET-0150,0.00,clean
PAY-0151,INV-0151,2550.00,INR,2026-08-27,CAPTURED,0.00,0.00,SET-0151,0.00,clean
PAY-0152,INV-0152,2687.00,INR,2026-08-28,CAPTURED,0.00,0.00,SET-0152,0.00,clean
PAY-0153,INV-0153,2824.00,INR,2026-08-29,CAPTURED,0.00,0.00,SET-0153,0.00,clean
PAY-0154,INV-0154,2961.00,INR,2026-08-30,CAPTURED,0.00,0.00,SET-0154,0.00,clean
PAY-0155,INV-0155,3098.00,INR,2026-08-31,CAPTURED,0.00,0.00,SET-0155,0.00,clean
PAY-0156,INV-0156,3235.00,INR,2026-08-01,CAPTURED,0.00,0.00,SET-0156,0.00,clean
PAY-0157,INV-0157,3372.00,INR,2026-08-02,CAPTURED,0.00,0.00,SET-0157,0.00,clean
PAY-0158,INV-0158,3509.00,INR,2026-08-03,CAPTURED,0.00,0.00,SET-0158,0.00,clean
PAY-0159,INV-0159,3646.00,INR,2026-08-04,CAPTURED,0.00,0.00,SET-0159,0.00,clean
PAY-0160,INV-0160,3783.00,INR,2026-08-05,CAPTURED,0.00,0.00,SET-0160,0.00,clean
PAY-0161,INV-0161,3920.00,INR,2026-08-06,CAPTURED,0.00,0.00,SET-0161,0.00,clean
PAY-0162,INV-0162,4057.00,INR,2026-08-07,CAPTURED,0.00,0.00,SET-0162,0.00,clean
PAY-0163,INV-0163,4194.00,INR,2026-08-08,CAPTURED,0.00,0.00,SET-0163,0.00,clean
PAY-0164,INV-0164,4331.00,INR,2026-08-09,CAPTURED,0.00,0.00,SET-0164,0.00,clean
PAY-0165,INV-0165,4468.00,INR,2026-08-10,CAPTURED,0.00,0.00,SET-0165,0.00,clean
PAY-0166,INV-0166,4605.00,INR,2026-08-11,CAPTURED,0.00,0.00,SET-0166,0.00,clean
PAY-0167,INV-0167,4742.00,INR,2026-08-12,CAPTURED,0.00,0.00,SET-0167,0.00,clean
PAY-0168,INV-0168,4879.00,INR,2026-08-13,CAPTURED,0.00,0.00,SET-0168,0.00,clean
PAY-0169,INV-0169,5016.00,INR,2026-08-14,CAPTURED,0.00,0.00,SET-0169,0.00,clean
PAY-0170,INV-0170,5153.00,INR,2026-08-15,CAPTURED,0.00,0.00,SET-0170,0.00,clean
PAY-0171,INV-0171,5290.00,INR,2026-08-16,CAPTURED,0.00,0.00,SET-0171,0.00,clean
PAY-0172,INV-0172,5427.00,INR,2026-08-17,CAPTURED,0.00,0.00,SET-0172,0.00,clean
PAY-0173,INV-0173,5564.00,INR,2026-08-18,CAPTURED,0.00,0.00,SET-0173,0.00,clean
PAY-0174,INV-0174,5701.00,INR,2026-08-19,CAPTURED,0.00,0.00,SET-0174,0.00,clean
PAY-0175,INV-0175,5838.00,INR,2026-08-20,CAPTURED,0.00,0.00,SET-0175,0.00,clean
PAY-0176,INV-0176,5975.00,INR,2026-08-21,CAPTURED,0.00,0.00,SET-0176,0.00,clean
PAY-0177,INV-0177,6112.00,INR,2026-08-22,CAPTURED,0.00,0.00,SET-0177,0.00,clean
PAY-0178,INV-0178,6249.00,INR,2026-08-23,CAPTURED,0.00,0.00,SET-0178,0.00,clean
PAY-0179,INV-0179,6386.00,INR,2026-08-24,CAPTURED,0.00,0.00,SET-0179,0.00,clean
PAY-0180,INV-0180,6523.00,INR,2026-08-25,CAPTURED,0.00,0.00,SET-0180,0.00,clean
PAY-0181,INV-0181,6660.00,INR,2026-08-26,CAPTURED,0.00,0.00,SET-0181,0.00,clean
PAY-0182,INV-0182,6797.00,INR,2026-08-27,CAPTURED,0.00,0.00,SET-0182,0.00,clean
PAY-0183,INV-0183,6934.00,INR,2026-08-28,CAPTURED,0.00,0.00,SET-0183,0.00,clean
PAY-0184,INV-0184,7071.00,INR,2026-08-29,CAPTURED,0.00,0.00,SET-0184,0.00,clean
PAY-0185,INV-0185,7208.00,INR,2026-08-30,CAPTURED,0.00,0.00,SET-0185,0.00,clean
PAY-0186,INV-0186,7345.00,INR,2026-08-31,CAPTURED,0.00,0.00,SET-0186,0.00,clean
PAY-0187,INV-0187,7482.00,INR,2026-08-01,CAPTURED,0.00,0.00,SET-0187,0.00,clean
PAY-0188,INV-0188,7619.00,INR,2026-08-02,CAPTURED,0.00,0.00,SET-0188,0.00,clean
PAY-0189,INV-0189,7756.00,INR,2026-08-03,CAPTURED,0.00,0.00,SET-0189,0.00,clean
PAY-0190,INV-0190,7893.00,INR,2026-08-04,CAPTURED,0.00,0.00,SET-0190,0.00,clean
PAY-0191,INV-0191,8030.00,INR,2026-08-05,CAPTURED,0.00,0.00,SET-0191,0.00,clean
PAY-0192,INV-0192,8167.00,INR,2026-08-06,CAPTURED,0.00,0.00,SET-0192,0.00,clean
PAY-0193,INV-0193,8304.00,INR,2026-08-07,CAPTURED,0.00,0.00,SET-0193,0.00,clean
PAY-0194,INV-0194,8441.00,INR,2026-08-08,CAPTURED,0.00,0.00,SET-0194,0.00,clean
PAY-0195,INV-0195,8578.00,INR,2026-08-09,CAPTURED,0.00,0.00,SET-0195,0.00,clean
PAY-0196,INV-0196,8715.00,INR,2026-08-10,CAPTURED,0.00,0.00,SET-0196,0.00,clean
PAY-0197,INV-0197,8852.00,INR,2026-08-11,CAPTURED,0.00,0.00,SET-0197,0.00,clean
PAY-0198,INV-0198,8989.00,INR,2026-08-12,CAPTURED,0.00,0.00,SET-0198,0.00,clean
PAY-0199,INV-0199,9126.00,INR,2026-08-13,CAPTURED,0.00,0.00,SET-0199,0.00,clean
PAY-0200,INV-0200,9263.00,INR,2026-08-14,CAPTURED,0.00,0.00,SET-0200,0.00,clean
PAY-0201,INV-0201,9400.00,INR,2026-08-15,CAPTURED,0.00,0.00,SET-0201,0.00,clean
PAY-0202,INV-0202,9537.00,INR,2026-08-16,CAPTURED,0.00,0.00,SET-0202,0.00,clean
PAY-0203,INV-0203,9674.00,INR,2026-08-17,CAPTURED,0.00,0.00,SET-0203,0.00,clean
PAY-0204,INV-0204,9811.00,INR,2026-08-18,CAPTURED,0.00,0.00,SET-0204,0.00,clean
PAY-0205,INV-0205,9948.00,INR,2026-08-19,CAPTURED,0.00,0.00,SET-0205,0.00,clean
PAY-0206,INV-0206,10085.00,INR,2026-08-20,CAPTURED,0.00,0.00,SET-0206,0.00,clean
PAY-0207,INV-0207,10222.00,INR,2026-08-21,CAPTURED,0.00,0.00,SET-0207,0.00,clean
PAY-0208,INV-0208,10359.00,INR,2026-08-22,CAPTURED,0.00,0.00,SET-0208,0.00,clean
PAY-0209,INV-0209,10496.00,INR,2026-08-23,CAPTURED,0.00,0.00,SET-0209,0.00,clean
PAY-0210,INV-0210,10633.00,INR,2026-08-24,CAPTURED,0.00,0.00,SET-0210,0.00,clean
PAY-0211,INV-0211,10770.00,INR,2026-08-25,CAPTURED,0.00,0.00,SET-0211,0.00,clean
PAY-0212,INV-0212,10907.00,INR,2026-08-26,CAPTURED,0.00,0.00,SET-0212,0.00,clean
PAY-0213,INV-0213,11044.00,INR,2026-08-27,CAPTURED,0.00,0.00,SET-0213,0.00,clean
PAY-0214,INV-0214,11181.00,INR,2026-08-28,CAPTURED,0.00,0.00,SET-0214,0.00,clean
PAY-0215,INV-0215,11318.00,INR,2026-08-29,CAPTURED,0.00,0.00,SET-0215,0.00,clean
PAY-0216,INV-0216,11455.00,INR,2026-08-30,CAPTURED,0.00,0.00,SET-0216,0.00,clean
PAY-0217,INV-0217,11592.00,INR,2026-08-31,CAPTURED,0.00,0.00,SET-0217,0.00,clean
PAY-0218,INV-0218,11729.00,INR,2026-08-01,CAPTURED,0.00,0.00,SET-0218,0.00,clean
PAY-0219,INV-0219,11866.00,INR,2026-08-02,CAPTURED,0.00,0.00,SET-0219,0.00,clean
PAY-0220,INV-0220,12003.00,INR,2026-08-03,CAPTURED,0.00,0.00,SET-0220,0.00,clean
PAY-0221,INV-0221,12140.00,INR,2026-08-04,CAPTURED,0.00,0.00,SET-0221,0.00,clean
PAY-0222,INV-0222,12277.00,INR,2026-08-05,CAPTURED,0.00,0.00,SET-0222,0.00,clean
PAY-0223,INV-0223,12414.00,INR,2026-08-06,CAPTURED,0.00,0.00,SET-0223,0.00,clean
PAY-0224,INV-0224,12551.00,INR,2026-08-07,CAPTURED,0.00,0.00,SET-0224,0.00,clean
PAY-0225,INV-0225,12688.00,INR,2026-08-08,CAPTURED,0.00,0.00,SET-0225,0.00,clean
PAY-0226,INV-0226,12825.00,INR,2026-08-09,CAPTURED,0.00,0.00,SET-0226,0.00,clean
PAY-0227,INV-0227,12962.00,INR,2026-08-10,CAPTURED,0.00,0.00,SET-0227,0.00,clean
PAY-0228,INV-0228,13099.00,INR,2026-08-11,CAPTURED,0.00,0.00,SET-0228,0.00,clean
PAY-0229,INV-0229,13236.00,INR,2026-08-12,CAPTURED,0.00,0.00,SET-0229,0.00,clean
PAY-0230,INV-0230,13373.00,INR,2026-08-13,CAPTURED,0.00,0.00,SET-0230,0.00,clean
PAY-0231,INV-0231,13510.00,INR,2026-08-14,CAPTURED,0.00,0.00,SET-0231,0.00,clean
PAY-0232,INV-0232,13647.00,INR,2026-08-15,CAPTURED,0.00,0.00,SET-0232,0.00,clean
PAY-0233,INV-0233,13784.00,INR,2026-08-16,CAPTURED,0.00,0.00,SET-0233,0.00,clean
PAY-0234,INV-0234,13921.00,INR,2026-08-17,CAPTURED,0.00,0.00,SET-0234,0.00,clean
PAY-0235,INV-0235,14058.00,INR,2026-08-18,CAPTURED,0.00,0.00,SET-0235,0.00,clean
PAY-0236,INV-0236,14195.00,INR,2026-08-19,CAPTURED,0.00,0.00,SET-0236,0.00,clean
PAY-0237,INV-0237,14332.00,INR,2026-08-20,CAPTURED,0.00,0.00,SET-0237,0.00,clean
PAY-0238,INV-0238,14469.00,INR,2026-08-21,CAPTURED,0.00,0.00,SET-0238,0.00,clean
PAY-0239,INV-0239,14606.00,INR,2026-08-22,CAPTURED,0.00,0.00,SET-0239,0.00,clean
PAY-0240,INV-0240,14743.00,INR,2026-08-23,CAPTURED,0.00,0.00,SET-0240,0.00,clean
PAY-0241,INV-0241,14880.00,INR,2026-08-24,CAPTURED,0.00,0.00,SET-0241,0.00,clean
PAY-0242,INV-0242,15017.00,INR,2026-08-25,CAPTURED,0.00,0.00,SET-0242,0.00,clean
PAY-0243,INV-0243,15154.00,INR,2026-08-26,CAPTURED,0.00,0.00,SET-0243,0.00,clean
PAY-0244,INV-0244,15291.00,INR,2026-08-27,CAPTURED,0.00,0.00,SET-0244,0.00,clean
PAY-0245,INV-0245,15428.00,INR,2026-08-28,CAPTURED,0.00,0.00,SET-0245,0.00,clean
